absolute_path,relative_path,height,width,channels,area
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000013.jpg,images\000013.jpg,533,800,3,426400
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000018.jpg,images\000018.jpg,1024,768,3,786432
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000003.jpg,images\000003.jpg,900,900,3,810000
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000040.jpg,images\000040.jpg,810,1080,3,874800
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000042.jpg,images\000042.jpg,787,1131,3,890097
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000024.jpg,images\000024.jpg,817,1100,3,898700
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000020.jpg,images\000020.jpg,731,1300,3,950300
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000022.jpg,images\000022.jpg,800,1212,3,969600
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000041.jpg,images\000041.jpg,811,1200,3,973200
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000046.jpg,images\000046.jpg,900,1200,3,1080000
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000006.jpg,images\000006.jpg,788,1400,3,1103200
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000007.png,images\000007.png,1080,1080,3,1166400
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000036.jpg,images\000036.jpg,800,1600,3,1280000
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000025.jpg,images\000025.jpg,1016,1443,3,1466088
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000035.jpg,images\000035.jpg,1000,1500,3,1500000
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000001.jpg,images\000001.jpg,1058,1600,3,1692800
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000027.jpg,images\000027.jpg,1108,1588,3,1759504
C:\Yniver\4_sem\Academ_razniza\PP\lab_2\application-programming-labs\images\000008.jpg,images\000008.jpg,1412,1280,3,1807360
